location_type,country,state,location_name,quarter,from_date,to_date,transaction_category,payment_type,transaction_count,transaction_amount,transaction_amount_crores,avg_transaction_value
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q3 2019,01/07/19,28/09/19,Merchant payments,TOTAL,3519,4428734.575,0.442873457,1258.520766
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q3 2019,01/07/19,28/09/19,Financial Services,TOTAL,50,158857.9432,0.015885794,3177.158863
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q3 2019,01/07/19,28/09/19,Others,TOTAL,215,232624.7599,0.023262476,1081.975628
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q4 2019,01/10/19,28/12/19,Peer-to-peer payments,TOTAL,18128,121493224.3,12.14932243,6701.965154
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q4 2019,01/10/19,28/12/19,Recharge & bill payments,TOTAL,13851,9538690.916,0.953869092,688.6644225
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q4 2019,01/10/19,28/12/19,Merchant payments,TOTAL,2920,5247500.488,0.524750049,1797.089208
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q4 2019,01/10/19,28/12/19,Financial Services,TOTAL,60,295937.2111,0.029593721,4932.286851
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q4 2019,01/10/19,28/12/19,Others,TOTAL,200,263177.5944,0.026317759,1315.887972
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q1 2020,01/01/20,28/03/20,Peer-to-peer payments,TOTAL,18324,142332401.8,14.23324018,7767.539936
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q1 2020,01/01/20,28/03/20,Recharge & bill payments,TOTAL,18268,10850414.02,1.085041402,593.9574132
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q1 2020,01/01/20,28/03/20,Merchant payments,TOTAL,4424,7752871.558,0.775287156,1752.457405
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q1 2020,01/01/20,28/03/20,Financial Services,TOTAL,66,208231.7307,0.020823173,3155.026223
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q1 2020,01/01/20,28/03/20,Others,TOTAL,216,332393.192,0.033239319,1538.85737
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q2 2020,01/04/20,28/06/20,Recharge & bill payments,TOTAL,38125,17659622.73,1.765962273,463.2032193
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q2 2020,01/04/20,28/06/20,Peer-to-peer payments,TOTAL,20303,141728757.7,14.17287577,6980.680576
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q2 2020,01/04/20,28/06/20,Merchant payments,TOTAL,4004,9236375.74,0.923637574,2306.787148
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q2 2020,01/04/20,28/06/20,Financial Services,TOTAL,175,706932.1397,0.070693214,4039.612227
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q2 2020,01/04/20,28/06/20,Others,TOTAL,355,313313.0646,0.031331306,882.572013
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q3 2020,01/07/20,28/09/20,Recharge & bill payments,TOTAL,59310,24756220.88,2.475622088,417.4038252
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q3 2020,01/07/20,28/09/20,Peer-to-peer payments,TOTAL,40697,289078946.7,28.90789467,7103.200401
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q3 2020,01/07/20,28/09/20,Merchant payments,TOTAL,16096,22682992.24,2.268299224,1409.231625
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q3 2020,01/07/20,28/09/20,Financial Services,TOTAL,572,961836.713,0.096183671,1681.532715
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q3 2020,01/07/20,28/09/20,Others,TOTAL,808,539449.7722,0.053944977,667.6358567
state,India,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Q4 2020,01/10/20,28/12/20,Peer-to-peer payments,TOTAL,81439,533316526.2,53.33165262,6548.66251
